...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
31,Fernside Road,1200000,House,1494,4,NA,London,SW12,8LJ,Outer,803.2128514056225
32,Telford Avenue,1250000,House,1507,4,NA,London,SW2,4XF,Outer,829.4625082946251
33,Telford Avenue,695000,Flat / Apartment,945,3,NA,London,SW2,4XQ,Outer,735.4497354497355
34,Stile Hall Gardens,1735000,House,2118,4,Chiswick,London,W4,3BS,Further Outer,819.1690273843249
35,Wavendon Avenue,2350000,House,2297,5,Chiswick,London,W4,4NR,Further Outer,1023.073574227253
36,Duke Road,1200000,House,1351,4,Chiswick,London,W4,2BA,Further Outer,888.2309400444116
37,Hobury Street,975000,Flat / Apartment,749,2,NA,London,SW10,0JB,Middle,1301.73564753004
38,Maltings Close,850000,House,1177,3,Barnes,London,SW13,0NL,Further Outer,722.1750212404418
39,Munster Road,1599950,House,1884,4,Fulham,London,SW6,5RF,Outer,849.2303609341826
40,Khyber Road,925000,Flat / Apartment,1321,2,NA,London,SW11,2PZ,Middle,700.2271006813021
42,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,NA,London,SW11,4BG,Middle,820.8955223880597
43,Old Battersea House,9975000,House,10100,10,Battersea,London,SW11,3LD,Middle,987.6237623762377
44,Kersley Street,1850000,House,1910,5,NA,London,SW11,4PT,Middle,968.5863874345549
45,Battersea Bridge Road,525000,New development,590,1,NA,London,SW11,3AU,Middle,889.8305084745763
46,Larkhall Rise,2200000,House,2239,4,NA,London,SW4,6HS,Middle,982.5815096025011
48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,Victoria,London,SW1,1EZ,central,1243.7804726368158
49,Park Close,725000,House,884,3,South Hackney,London,E9,7LF,Middle,820.1357466063348
50,Century Court,1750000,Flat / Apartment,1232,2,Grove End Road,London,NW8,9LD,Middle,1420.4545454545455
51,Eaton Square,5250000,Flat / Apartment,2299,3,NA,London,S1W,9DF,Further Outer,2283.6015658982164
52,Hornsey Town Hall,1250000,New development,1307,3,Crouch End,London,N8,9JJ,Outer,956.388676358072
54,Francis House,3350000,Penthouse,2185,3,Coleridge Gardens,London,SW10,0RP,Middle,1533.1807780320366
55,Wendle Square,1000000,Flat / Apartment,1228,3,Battersea,London,SW11,4SS,Middle,814.3322475570033
56,Rectory Road,2350000,House,2511,4,Barnes,London,SW13,0DX,Further Outer,935.8821186778176
57,Thames Quay,2095000,Flat / Apartment,1528,3,Chelsea Harbour,London,SW10,0UY,Middle,1371.0732984293193
58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,Bayswater,London,W2,4WA,Middle,1541.3070283600493
59,Harbut Road,735000,Flat / Apartment,969,2,NA,London,SW11,2RE,Middle,758.5139318885449
60,Chasefield Road,875000,House,1132,4,Tooting,London,SW17,8LW,Outer,772.9681978798586
61,Fernwood Avenue,1250000,House,2498,6,NA,London,SW16,1RD,Outer,500.40032025620496
62,Havilland Mews,595000,Flat / Apartment,643,2,NA,London,W12,8BG,Outer,925.3499222395023
65,St. Davids Mews,820000,House,974,3,Morgan Street,London,E3,5AZ,Middle,841.8891170431211
66,Chester Close South,830000,Flat / Apartment,850,2,Regent's Park,London,NW1,4JG,central,976.4705882352941
67,Lady Somerset Road,500000,Flat / Apartment,458,1,Kentish Town,London,NW5,1TX,Middle,1091.703056768559
69,Queens Grove,7500000,House,3851,6,St John's Wood,London,NW8,6EN,Middle,1947.5460919241755
